Timestamp,Plate Number
2024-09-19 14:22:39,fe ANH 1.98)
2024-09-19 14:22:40,> ANH-493 1)
2024-09-19 14:22:41,E ANH-498 1]
2024-09-19 14:22:43,E-ANH-4981]
2024-09-19 14:22:44,-ANH-4981
2024-09-19 14:22:45,-ANH-4981
2024-09-19 14:22:46,"P-ANH*498""1"
2024-09-19 14:22:47,P-ANH=498:
2024-09-19 14:22:48,-ANH=498
2024-09-19 14:22:49,P-ANH°498
2024-09-19 14:22:51,"P-ANH®1,98"
2024-09-19 14:22:52,"P-ANH®4,98"
2024-09-19 14:22:52,B-ANH-49811)
2024-09-19 14:22:53,P-ANH=L98-
2024-09-19 14:22:54,-ANH2498°
2024-09-19 14:22:55,fe -ANH2498°
2024-09-19 14:22:56,f-ANH2498:
2024-09-19 14:22:57,f-ANH2498:
2024-09-19 14:22:59,-ANH=498:
2024-09-19 14:23:00,"-ANH°498"""
2024-09-19 14:23:01,-ANH=498°
2024-09-19 14:23:02,-ANH°49811
2024-09-19 14:23:03,"F-ANH°498"""
2024-09-19 14:23:04,P-ANH-498]
2024-09-19 14:23:05,"P-ANH=498""1]"
2024-09-19 14:23:06,P-ANH°498-1]
2024-09-19 14:23:07,P-ANH=49811]
2024-09-19 14:23:09,P-ANH°498-1]
2024-09-19 14:23:10,F -ANH-498-1)
2024-09-19 14:23:11,P-ANH-498-1)
2024-09-19 14:23:12,B-ANH°498+1|
2024-09-19 14:23:13,B-ANH°498+1
2024-09-19 14:23:14,B-ANH°498+1|
2024-09-19 14:23:15,ANH 49274)
